epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.77541,1.26058,0.871,1.35469,0.65454,0.60706,0.62456,0.39843,1.66898,1.1586,1.48143,0.00019089,0.00019089,0.00019089
2,10.1902,1.17425,0.88917,1.3026,0.73299,0.50727,0.56089,0.34434,1.72273,1.34526,1.56851,0.000387,0.000387,0.000387
3,14.5625,1.24631,1.01059,1.31987,0.57438,0.57486,0.5664,0.34363,1.73169,1.56584,1.5923,0.000579151,0.000579151,0.000579151
4,18.7691,1.25707,1.05647,1.34854,0.79341,0.50228,0.54502,0.31823,1.69647,1.41436,1.69763,0.000767342,0.000767342,0.000767342
5,22.7778,1.257,1.07171,1.35726,0.69506,0.48041,0.50728,0.32957,1.45517,1.34798,1.45476,0.000873004,0.000873004,0.000873004
6,26.8581,1.31152,1.06473,1.37398,0.4032,0.50832,0.4462,0.2834,1.75933,1.99014,1.53713,0.000864004,0.000864004,0.000864004
7,30.8229,1.29427,1.1083,1.37129,0.70133,0.39081,0.50532,0.32733,1.68739,1.62906,1.61625,0.000855005,0.000855005,0.000855005
8,34.8326,1.32877,1.15537,1.39526,0.50998,0.47293,0.49788,0.30775,1.66702,1.53866,1.47919,0.000846006,0.000846006,0.000846006
9,38.8399,1.31128,1.1045,1.38377,0.5328,0.568,0.52071,0.3022,1.69561,1.53921,1.6237,0.000837007,0.000837007,0.000837007
10,42.882,1.30869,1.10591,1.38248,0.51705,0.54454,0.51976,0.33286,1.56423,1.51992,1.51555,0.000828008,0.000828008,0.000828008
11,47.0836,1.30068,1.11823,1.39426,0.46976,0.44748,0.45312,0.2897,1.46739,1.53905,1.41877,0.000819009,0.000819009,0.000819009
