epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99195,2.10496,2.0341,2.11738,0.63247,0.5333,0.56321,0.27699,2.19276,1.32066,1.78319,0.00019089,0.00019089,0.00019089
2,9.21716,1.82118,1.67749,1.83566,0.60998,0.43995,0.49303,0.2612,2.10409,1.48962,1.686,0.000388935,0.000388935,0.000388935
3,13.1804,1.74247,1.71686,1.8095,0.66079,0.47505,0.56891,0.30904,1.96818,1.62187,1.62832,0.000585001,0.000585001,0.000585001
4,17.1615,1.75066,1.6379,1.79803,0.49884,0.4757,0.46756,0.23888,2.15975,1.53244,1.77545,0.000779086,0.000779086,0.000779086
5,21.0672,1.78316,1.67836,1.80222,0.77642,0.46209,0.50531,0.22435,2.26164,1.54901,1.82984,0.000891002,0.000891002,0.000891002
6,24.9998,1.74945,1.65783,1.77696,0.60066,0.50986,0.52985,0.27562,1.88758,1.53541,1.61357,0.000886502,0.000886502,0.000886502
7,28.8322,1.72735,1.62274,1.76446,0.70173,0.53522,0.53528,0.31547,1.84001,1.41562,1.56392,0.000882003,0.000882003,0.000882003
8,32.6428,1.73289,1.61649,1.75846,0.59593,0.53699,0.5388,0.29915,1.80797,1.45412,1.55545,0.000877503,0.000877503,0.000877503
9,36.5553,1.74656,1.59389,1.76544,0.79681,0.42221,0.54473,0.28377,2.05026,1.56911,1.6743,0.000873004,0.000873004,0.000873004
10,40.4918,1.73479,1.6013,1.7876,0.62782,0.47713,0.51423,0.22523,2.42597,1.63613,1.92752,0.000868504,0.000868504,0.000868504
11,44.3576,1.78192,1.61585,1.8131,0.65878,0.49363,0.53427,0.29745,1.91211,1.5667,1.64755,0.000864004,0.000864004,0.000864004
12,48.3877,1.74317,1.63042,1.766,0.72039,0.48639,0.55778,0.31601,1.80246,1.58905,1.59412,0.000859505,0.000859505,0.000859505
13,52.3631,1.64339,1.52905,1.70247,0.54577,0.48077,0.51855,0.31762,1.795,1.53186,1.55142,0.000855005,0.000855005,0.000855005
14,56.3041,1.68519,1.59784,1.75314,0.62419,0.53058,0.53488,0.28271,1.89457,1.42396,1.56463,0.000850506,0.000850506,0.000850506
15,60.1724,1.68995,1.58552,1.76135,0.77349,0.4422,0.56024,0.32181,2.05937,1.56135,1.68409,0.000846006,0.000846006,0.000846006
16,64.2161,1.66233,1.55119,1.72336,0.68126,0.59086,0.59596,0.33298,1.88172,1.45876,1.54432,0.000841507,0.000841507,0.000841507
17,68.1471,1.64686,1.53427,1.72188,0.76349,0.47647,0.59445,0.31776,1.91987,1.40617,1.57872,0.000837007,0.000837007,0.000837007
18,72.0764,1.6526,1.49702,1.71734,0.66034,0.53305,0.56902,0.35208,1.91477,1.38753,1.56813,0.000832508,0.000832508,0.000832508
19,76.2362,1.63536,1.49533,1.71326,0.57868,0.59555,0.56034,0.31156,1.95127,1.41046,1.66058,0.000828008,0.000828008,0.000828008
20,80.1933,1.63527,1.44657,1.70996,0.57995,0.52902,0.50333,0.28654,2.01749,1.39624,1.65175,0.000823509,0.000823509,0.000823509
21,83.9588,1.66122,1.51847,1.70582,0.6466,0.51911,0.54729,0.31052,1.9788,1.52599,1.70609,0.000819009,0.000819009,0.000819009
22,87.9725,1.6495,1.50083,1.69336,0.50149,0.60324,0.56177,0.35321,1.68127,1.39837,1.53266,0.000814509,0.000814509,0.000814509
23,92.0665,1.66138,1.48355,1.71999,0.65981,0.53472,0.59162,0.3292,1.88238,1.35782,1.64052,0.00081001,0.00081001,0.00081001
24,95.9863,1.6704,1.45068,1.71258,0.7546,0.42367,0.50025,0.24121,2.31408,1.72119,1.87767,0.00080551,0.00080551,0.00080551
25,99.8924,1.61346,1.43388,1.68027,0.67705,0.45182,0.5167,0.31572,1.91842,1.61454,1.67506,0.000801011,0.000801011,0.000801011
26,103.832,1.56576,1.41148,1.65494,0.70807,0.4682,0.58847,0.37252,1.65035,1.33576,1.49443,0.000796511,0.000796511,0.000796511
27,108.036,1.61546,1.42344,1.68162,0.64957,0.52591,0.58442,0.37279,1.70152,1.34262,1.49118,0.000792012,0.000792012,0.000792012
28,111.968,1.64035,1.44123,1.70384,0.61442,0.58039,0.57092,0.36768,1.60291,1.37709,1.47409,0.000787512,0.000787512,0.000787512
