epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.90823,0.97014,0.56994,1.02989,0.93188,0.91787,0.94572,0.727,0.82678,0.53393,0.89914,0.000269954,0.000269954,0.000269954
2,13.3251,0.99303,0.60596,1.02839,0.92568,0.90545,0.95568,0.71589,0.85766,0.56956,0.90671,0.000536777,0.000536777,0.000536777
3,19.4788,1.06537,0.66996,1.04594,0.9007,0.85062,0.90498,0.66168,0.92395,0.67649,0.93926,0.000792606,0.000792606,0.000792606
4,25.3438,1.1119,0.69217,1.05433,0.92571,0.86757,0.92812,0.62204,1.16668,0.70122,0.99092,0.00078352,0.00078352,0.00078352
5,31.2675,1.07921,0.73369,1.05163,0.90706,0.91004,0.94502,0.66806,1.03045,0.64933,0.9583,0.000767026,0.000767026,0.000767026
6,37.2489,1.09173,0.71263,1.05194,0.83554,0.84439,0.89558,0.64782,0.99151,0.71776,0.94948,0.000750533,0.000750533,0.000750533
7,43.327,1.07667,0.71545,1.05045,0.89278,0.86237,0.90869,0.6587,0.9726,0.70348,0.95247,0.00073404,0.00073404,0.00073404
8,49.381,1.08358,0.71155,1.06866,0.86617,0.85418,0.89794,0.62365,1.122,0.76284,1.01425,0.000717546,0.000717546,0.000717546
9,55.468,1.1039,0.72656,1.07315,0.93115,0.85713,0.92539,0.67485,1.00269,0.63646,0.94255,0.000701053,0.000701053,0.000701053
10,61.4115,1.06726,0.71603,1.05243,0.8697,0.88754,0.89159,0.63152,1.04052,0.70518,0.95277,0.000684559,0.000684559,0.000684559
11,67.1867,1.06416,0.69471,1.07003,0.86025,0.88082,0.92885,0.64422,1.08003,0.67806,0.98029,0.000668066,0.000668066,0.000668066
12,73.0645,1.09895,0.72426,1.06709,0.91872,0.83472,0.94049,0.68247,0.98441,0.638,0.95177,0.000651573,0.000651573,0.000651573
13,78.8806,1.07512,0.7056,1.06807,0.9322,0.8513,0.93185,0.6663,0.97716,0.63547,0.94403,0.000635079,0.000635079,0.000635079
14,84.6702,1.08559,0.68162,1.0581,0.91073,0.88287,0.94048,0.66563,1.05129,0.62676,0.96192,0.000618586,0.000618586,0.000618586
15,90.6021,1.06066,0.6676,1.05905,0.91927,0.86179,0.93406,0.68399,0.98047,0.66117,0.94961,0.000602092,0.000602092,0.000602092
16,96.7397,1.08011,0.68024,1.06863,0.94665,0.89173,0.94607,0.68494,0.9413,0.60031,0.94077,0.000585599,0.000585599,0.000585599
17,102.472,1.04547,0.68394,1.05648,0.9261,0.84654,0.91806,0.69102,0.95343,0.66853,0.9519,0.000569106,0.000569106,0.000569106
18,108.299,1.07229,0.69176,1.03505,0.9369,0.85173,0.9267,0.65993,1.02468,0.65096,0.95429,0.000552612,0.000552612,0.000552612
19,114.091,1.03003,0.64184,1.035,0.9077,0.82306,0.90323,0.67038,0.94793,0.63961,0.93431,0.000536119,0.000536119,0.000536119
20,119.978,1.05445,0.67008,1.0593,0.89976,0.91253,0.94147,0.69235,0.9572,0.59313,0.94223,0.000519625,0.000519625,0.000519625
21,125.78,1.05577,0.65004,1.05183,0.92936,0.87367,0.93363,0.65456,1.11566,0.60302,0.98353,0.000503132,0.000503132,0.000503132
22,131.556,1.03854,0.62586,1.03888,0.89586,0.91153,0.92109,0.66483,1.04725,0.59299,0.96317,0.000486639,0.000486639,0.000486639
23,137.326,1.01114,0.63452,1.02386,0.9165,0.86524,0.91971,0.67122,0.98734,0.61477,0.94735,0.000470145,0.000470145,0.000470145
24,143.333,1.00477,0.60995,1.02387,0.93328,0.89515,0.92113,0.64109,1.04029,0.60236,0.96133,0.000453652,0.000453652,0.000453652
25,149.022,0.9938,0.60893,1.02355,0.90908,0.91357,0.94264,0.66487,0.97466,0.59499,0.95076,0.000437158,0.000437158,0.000437158
26,154.806,1.00477,0.5926,1.02978,0.90952,0.90992,0.95478,0.66888,1.0316,0.61328,0.96054,0.000420665,0.000420665,0.000420665
27,160.57,0.99318,0.58711,1.02229,0.93413,0.87099,0.94289,0.67093,1.01283,0.59735,0.95305,0.000404172,0.000404172,0.000404172
28,166.358,0.99873,0.62752,1.01882,0.95146,0.88305,0.93984,0.70337,0.95923,0.57177,0.93743,0.000387678,0.000387678,0.000387678
29,172.072,1.02053,0.60074,1.01735,0.95292,0.86433,0.93955,0.69824,0.93614,0.57742,0.93879,0.000371185,0.000371185,0.000371185
30,178.052,1.00053,0.57866,1.00484,0.93565,0.91502,0.94935,0.69835,0.9864,0.57852,0.94929,0.000354691,0.000354691,0.000354691
31,183.94,0.96621,0.58091,1.01542,0.9263,0.90472,0.94215,0.70552,0.92772,0.6081,0.92859,0.000338198,0.000338198,0.000338198
32,189.683,0.96025,0.56122,1.00513,0.92674,0.8861,0.94289,0.71359,0.91335,0.58763,0.92343,0.000321705,0.000321705,0.000321705
33,195.61,0.94357,0.55404,0.9935,0.92334,0.88883,0.94388,0.6951,0.97226,0.59898,0.94345,0.000305211,0.000305211,0.000305211
34,201.43,0.96055,0.54426,0.99608,0.96055,0.86773,0.95027,0.71404,0.9453,0.58437,0.9278,0.000288718,0.000288718,0.000288718
35,207.207,0.94837,0.54759,1.01008,0.92105,0.9279,0.95357,0.7094,0.95496,0.55142,0.92939,0.000272224,0.000272224,0.000272224
36,212.922,0.95723,0.54297,1.00312,0.96063,0.91009,0.95927,0.71615,0.92734,0.56978,0.92968,0.000255731,0.000255731,0.000255731
37,218.781,0.9337,0.5527,0.99872,0.92182,0.90892,0.95804,0.71454,0.94397,0.5656,0.92581,0.000239238,0.000239238,0.000239238
38,224.616,0.93437,0.54305,0.99838,0.90612,0.92764,0.95093,0.70828,0.92124,0.57778,0.92228,0.000222744,0.000222744,0.000222744
39,230.362,0.951,0.54133,0.99737,0.89734,0.91763,0.94705,0.70288,0.90116,0.57846,0.91857,0.000206251,0.000206251,0.000206251
40,236.267,0.903,0.52899,0.98853,0.87969,0.93668,0.94988,0.72615,0.88475,0.54966,0.9098,0.000189757,0.000189757,0.000189757
41,259.109,0.85854,0.43772,0.95688,0.90584,0.907,0.95117,0.7052,0.90253,0.54661,0.91364,0.000173264,0.000173264,0.000173264
42,265.004,0.84234,0.41399,0.9565,0.89978,0.92851,0.95471,0.71263,0.89992,0.54442,0.91104,0.000156771,0.000156771,0.000156771
43,271.136,0.86017,0.43057,0.95493,0.94924,0.8926,0.95202,0.72105,0.87851,0.54728,0.90899,0.000140277,0.000140277,0.000140277
44,277.102,0.85878,0.42984,0.95152,0.89683,0.93721,0.95237,0.72729,0.88028,0.55401,0.91141,0.000123784,0.000123784,0.000123784
45,283.423,0.82368,0.4126,0.93839,0.92148,0.93207,0.95583,0.721,0.87133,0.54446,0.91065,0.00010729,0.00010729,0.00010729
46,289.456,0.8393,0.414,0.94466,0.92573,0.93038,0.95478,0.72247,0.87721,0.55947,0.91468,9.0797e-05,9.0797e-05,9.0797e-05
47,295.954,0.82045,0.40118,0.93784,0.92646,0.93387,0.95703,0.72883,0.86922,0.54521,0.91125,7.43036e-05,7.43036e-05,7.43036e-05
48,301.708,0.82715,0.40904,0.9367,0.93121,0.93508,0.957,0.72949,0.86584,0.54426,0.91268,5.78102e-05,5.78102e-05,5.78102e-05
49,308.031,0.78662,0.39057,0.93504,0.93843,0.94227,0.95705,0.73302,0.85923,0.54032,0.91293,4.13168e-05,4.13168e-05,4.13168e-05
50,314.343,0.82046,0.39447,0.9396,0.93648,0.94121,0.95909,0.73302,0.86139,0.54,0.91416,2.48234e-05,2.48234e-05,2.48234e-05
