epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.00694,2.05179,4.86344,1.5789,0.28491,0.26843,0.14575,0.04805,2.19575,4.80639,1.3672,0.000269954,0.000269954,0.000269954
2,14.7949,1.74237,2.96282,1.38427,0.20086,0.39125,0.19818,0.06878,2.06631,2.8764,1.36464,0.000545813,0.000545813,0.000545813
3,21.1124,1.74212,2.58138,1.39676,0.26004,0.43416,0.18513,0.05044,2.22167,4.08043,1.61999,0.00081984,0.00081984,0.00081984
4,27.1743,1.71073,2.33659,1.4261,0.28836,0.43552,0.26646,0.07045,2.30771,2.41073,1.72482,0.000824753,0.000824753,0.000824753
5,33.2052,1.66926,2.16735,1.38604,0.27191,0.29933,0.23985,0.06934,2.17589,2.61869,1.55352,0.000822004,0.000822004,0.000822004
6,39.1915,1.62603,2.01019,1.35706,0.32751,0.32954,0.2952,0.07976,2.33342,2.7026,1.59827,0.000819255,0.000819255,0.000819255
7,45.4626,1.64933,2.06756,1.40934,0.46479,0.34025,0.33559,0.13728,1.99629,2.15553,1.36482,0.000816507,0.000816507,0.000816507
8,51.6009,1.6687,1.9756,1.38993,0.41956,0.48881,0.43904,0.19189,1.89299,1.96906,1.37405,0.000813758,0.000813758,0.000813758
9,57.7743,1.67389,1.96265,1.39284,0.44942,0.43354,0.38993,0.13328,2.38345,2.27444,1.60372,0.000811009,0.000811009,0.000811009
10,64.0241,1.62332,1.90257,1.35925,0.38077,0.47414,0.36894,0.15777,1.90829,2.24292,1.35945,0.00080826,0.00080826,0.00080826
11,70.0404,1.63963,1.88383,1.35907,0.42624,0.58349,0.43341,0.18606,1.83736,2.00665,1.28878,0.000805511,0.000805511,0.000805511
12,75.8037,1.60297,1.78885,1.34476,0.44957,0.53156,0.48401,0.20579,1.90064,1.93395,1.319,0.000802762,0.000802762,0.000802762
13,81.9904,1.62443,1.77939,1.35641,0.46227,0.53059,0.47775,0.18016,2.0074,1.85711,1.38369,0.000800013,0.000800013,0.000800013
14,88.0205,1.6324,1.8617,1.35859,0.48122,0.50346,0.49615,0.24169,1.69024,1.86424,1.26411,0.000797264,0.000797264,0.000797264
15,94.1819,1.5616,1.72225,1.36247,0.52604,0.60008,0.56573,0.25019,1.9537,1.69396,1.3687,0.000794515,0.000794515,0.000794515
16,100.152,1.54192,1.62036,1.34684,0.53981,0.59984,0.60648,0.24566,2.07169,1.6145,1.45258,0.000791767,0.000791767,0.000791767
17,106.456,1.57783,1.68781,1.36941,0.46616,0.54591,0.54846,0.26397,1.82187,1.71173,1.34211,0.000789018,0.000789018,0.000789018
18,112.503,1.55776,1.62365,1.33627,0.59277,0.57732,0.57172,0.32331,1.57483,1.50504,1.20035,0.000786269,0.000786269,0.000786269
19,118.548,1.52492,1.56786,1.31323,0.66865,0.51179,0.63157,0.27324,1.94943,1.56791,1.33678,0.00078352,0.00078352,0.00078352
20,124.584,1.57077,1.60731,1.34079,0.71141,0.54164,0.62919,0.32218,1.66804,1.55055,1.23437,0.000780771,0.000780771,0.000780771
21,130.664,1.5361,1.56525,1.31713,0.61378,0.5611,0.62041,0.30202,1.77233,1.51846,1.29231,0.000778022,0.000778022,0.000778022
22,136.417,1.52253,1.54635,1.31904,0.62919,0.55914,0.62853,0.29841,1.87757,1.57121,1.33944,0.000775273,0.000775273,0.000775273
23,142.323,1.50602,1.51117,1.29947,0.51403,0.53724,0.54548,0.26626,1.86563,1.78232,1.36423,0.000772524,0.000772524,0.000772524
24,148.501,1.49124,1.4516,1.29355,0.56796,0.61075,0.60452,0.27385,1.86862,1.48976,1.35058,0.000769775,0.000769775,0.000769775
25,154.548,1.54104,1.46855,1.3189,0.60768,0.54825,0.5941,0.24307,1.99078,1.59705,1.35945,0.000767026,0.000767026,0.000767026
26,160.485,1.49448,1.45002,1.28259,0.72172,0.53608,0.61718,0.25594,2.08371,1.53991,1.39445,0.000764278,0.000764278,0.000764278
27,166.572,1.51528,1.44668,1.29792,0.58181,0.62287,0.6461,0.27846,1.91543,1.52772,1.32892,0.000761529,0.000761529,0.000761529
28,172.907,1.53482,1.44148,1.3078,0.53941,0.63237,0.61812,0.28936,1.84377,1.6391,1.30001,0.00075878,0.00075878,0.00075878
29,179.076,1.45919,1.38734,1.25795,0.65574,0.66058,0.68343,0.31365,1.86975,1.42383,1.3022,0.000756031,0.000756031,0.000756031
30,185.109,1.46799,1.38616,1.2801,0.58027,0.61274,0.5806,0.32316,1.50982,1.5173,1.17984,0.000753282,0.000753282,0.000753282
31,191.258,1.45051,1.41763,1.27897,0.65661,0.61729,0.67226,0.35565,1.61196,1.43502,1.20783,0.000750533,0.000750533,0.000750533
32,197.312,1.51087,1.37561,1.29987,0.66962,0.62318,0.67997,0.37372,1.54293,1.40533,1.19711,0.000747784,0.000747784,0.000747784
33,203.231,1.45491,1.32065,1.27528,0.60354,0.53083,0.59307,0.30245,1.649,1.39005,1.27739,0.000745035,0.000745035,0.000745035
34,209.178,1.46423,1.34988,1.30957,0.706,0.58964,0.66413,0.26708,2.08615,1.47389,1.40879,0.000742286,0.000742286,0.000742286
35,215.251,1.46721,1.3129,1.27647,0.67673,0.65285,0.68753,0.32128,1.81583,1.34124,1.28535,0.000739537,0.000739537,0.000739537
36,221.146,1.4352,1.28752,1.27215,0.67065,0.58697,0.68045,0.37596,1.49341,1.30721,1.17058,0.000736788,0.000736788,0.000736788
37,227.289,1.46298,1.24366,1.25916,0.76064,0.51114,0.58676,0.32981,1.50281,1.45501,1.17378,0.00073404,0.00073404,0.00073404
