epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.639,2.01857,4.89835,1.54054,0.31168,0.39419,0.17466,0.0573,2.07412,4.55885,1.31243,0.000269954,0.000269954,0.000269954
2,14.0561,1.71713,2.90689,1.3728,0.31154,0.21352,0.20215,0.06123,2.22183,2.95327,1.42459,0.000545813,0.000545813,0.000545813
3,20.0004,1.67755,2.51385,1.34066,0.20405,0.24089,0.13395,0.04466,2.18795,2.87553,1.39494,0.00081984,0.00081984,0.00081984
4,25.8759,1.63331,2.35892,1.3405,0.13575,0.22381,0.11528,0.02846,2.67463,3.40072,1.98197,0.000824753,0.000824753,0.000824753
5,31.6848,1.6059,2.16304,1.30964,0.27838,0.42615,0.33618,0.14857,1.76775,2.32534,1.28021,0.000822004,0.000822004,0.000822004
6,37.6084,1.58239,1.97228,1.33591,0.45205,0.43835,0.44861,0.16353,2.03993,2.37095,1.42742,0.000819255,0.000819255,0.000819255
7,43.5059,1.58881,2.00663,1.36905,0.11088,0.17178,0.06419,0.0279,2.25932,36.3386,1.46087,0.000816507,0.000816507,0.000816507
8,49.2096,1.60767,1.90671,1.3572,0.31641,0.37646,0.34817,0.11573,2.20353,2.22289,1.51299,0.000813758,0.000813758,0.000813758
9,55.0024,1.60373,1.96004,1.36717,0.42603,0.46144,0.42482,0.1421,2.21833,2.21709,1.53183,0.000811009,0.000811009,0.000811009
10,60.9417,1.58518,1.90759,1.32725,0.3472,0.46529,0.37981,0.15018,2.07346,2.49786,1.49355,0.00080826,0.00080826,0.00080826
11,66.8544,1.56193,1.86845,1.31859,0.51676,0.47991,0.51385,0.24386,1.71007,1.81598,1.24094,0.000805511,0.000805511,0.000805511
12,72.691,1.53814,1.83386,1.30387,0.38675,0.31159,0.3264,0.18945,1.55721,2.37057,1.15176,0.000802762,0.000802762,0.000802762
13,78.6889,1.54752,1.75503,1.31905,0.4465,0.57922,0.50161,0.20073,2.01742,1.81592,1.3533,0.000800013,0.000800013,0.000800013
14,84.3092,1.56056,1.85516,1.30172,0.39359,0.55696,0.51469,0.25067,1.60042,1.82316,1.22128,0.000797264,0.000797264,0.000797264
15,90.2737,1.47268,1.61548,1.28938,0.57146,0.48701,0.53823,0.26512,1.6176,1.79849,1.21143,0.000794515,0.000794515,0.000794515
16,96.3961,1.52443,1.58561,1.3072,0.54576,0.55101,0.57104,0.25253,1.82011,1.6181,1.27946,0.000791767,0.000791767,0.000791767
17,102.117,1.49176,1.65554,1.27072,0.46339,0.57491,0.58124,0.34343,1.36898,1.61331,1.10369,0.000789018,0.000789018,0.000789018
18,108.016,1.49841,1.58828,1.27962,0.60854,0.47383,0.55432,0.26659,1.72343,1.73283,1.26355,0.000786269,0.000786269,0.000786269
19,113.65,1.46121,1.4856,1.24847,0.60205,0.66097,0.637,0.32499,1.67388,1.4904,1.23355,0.00078352,0.00078352,0.00078352
20,119.504,1.46483,1.56937,1.26137,0.69836,0.55843,0.59407,0.2801,1.7089,1.50622,1.24518,0.000780771,0.000780771,0.000780771
21,125.369,1.43183,1.45453,1.2347,0.58052,0.5268,0.59644,0.34496,1.46445,1.52551,1.1174,0.000778022,0.000778022,0.000778022
22,131.191,1.48544,1.47413,1.27733,0.57176,0.62208,0.63545,0.25994,1.90447,1.46635,1.31245,0.000775273,0.000775273,0.000775273
23,136.923,1.45785,1.4562,1.25635,0.45302,0.64911,0.55374,0.31605,1.43084,1.60317,1.14166,0.000772524,0.000772524,0.000772524
24,142.666,1.40516,1.42753,1.23849,0.57188,0.57923,0.58268,0.28209,1.68072,1.52757,1.19919,0.000769775,0.000769775,0.000769775
25,148.714,1.46102,1.34671,1.25837,0.69933,0.5791,0.68347,0.28597,2.0455,1.47039,1.3786,0.000767026,0.000767026,0.000767026
26,154.593,1.43663,1.38015,1.23391,0.59957,0.57746,0.6223,0.2763,1.90216,1.54643,1.30028,0.000764278,0.000764278,0.000764278
27,160.099,1.45844,1.41356,1.24911,0.63778,0.60291,0.63244,0.26254,2.00118,1.52119,1.3362,0.000761529,0.000761529,0.000761529
28,165.939,1.40027,1.34548,1.23532,0.68211,0.62572,0.68455,0.30711,1.88166,1.4825,1.30839,0.00075878,0.00075878,0.00075878
29,171.662,1.42665,1.3245,1.23634,0.50035,0.6432,0.62551,0.30244,1.75949,1.7496,1.26152,0.000756031,0.000756031,0.000756031
30,177.495,1.40266,1.30549,1.2378,0.64002,0.64371,0.67559,0.31892,1.85251,1.42032,1.29288,0.000753282,0.000753282,0.000753282
31,183.141,1.38291,1.31998,1.22581,0.71005,0.63225,0.67142,0.35474,1.63297,1.39808,1.18329,0.000750533,0.000750533,0.000750533
32,189.016,1.40394,1.28888,1.22923,0.6611,0.58629,0.66177,0.38434,1.51983,1.38174,1.15679,0.000747784,0.000747784,0.000747784
33,194.739,1.42864,1.28328,1.22866,0.57252,0.62977,0.66768,0.35673,1.64871,1.38819,1.19113,0.000745035,0.000745035,0.000745035
34,200.364,1.3665,1.23215,1.23282,0.5882,0.64067,0.63821,0.35318,1.5478,1.42216,1.16383,0.000742286,0.000742286,0.000742286
35,206.052,1.38514,1.27512,1.20912,0.69902,0.68692,0.69113,0.38121,1.57153,1.29529,1.16136,0.000739537,0.000739537,0.000739537
